case,target,rank,drug_name,score,model_probability,known_target_similarity,evidence_target,evidence_organism,boundary
甲/乙流 NA,neuraminidase,1,zanamivir,0.95918,0.591799,1.0,Neuraminidase,Influenza A virus (strain A/Puerto Rico/8/1934 H1N1),计算筛选排序信号，不代表真实疗效或临床结论。
甲/乙流 NA,neuraminidase,2,oseltamivir,0.950647,0.506468,1.0,Neuraminidase,Influenza A virus (strain A/Puerto Rico/8/1934 H1N1),计算筛选排序信号，不代表真实疗效或临床结论。
甲/乙流 NA,neuraminidase,3,peramivir,0.946202,0.462024,1.0,Neuraminidase,Influenza A virus (strain A/Puerto Rico/8/1934 H1N1),计算筛选排序信号，不代表真实疗效或临床结论。
甲/乙流 NA,neuraminidase,4,laninamivir octanoate hydrate,0.82585,0.496799,0.95,Neuraminidase,Influenza A virus (A/WSN/1933(H1N1)),计算筛选排序信号，不代表真实疗效或临床结论。
甲/乙流 NA,neuraminidase,5,rutoside,0.823927,0.458333,0.95,Neuraminidase,Influenza A virus (A/WSN/1933(H1N1)),计算筛选排序信号，不代表真实疗效或临床结论。
HIV 逆转录酶,reverse transcriptase,1,zidovudine,0.965759,0.657593,1.0,Pol polyprotein,Human immunodeficiency virus 1,计算筛选排序信号，不代表真实疗效或临床结论。
HIV 逆转录酶,reverse transcriptase,2,etravirine,0.961611,0.616111,1.0,Reverse transcriptase/RNaseH,Human immunodeficiency virus 1,计算筛选排序信号，不代表真实疗效或临床结论。
HIV 逆转录酶,reverse transcriptase,3,delavirdine,0.96063,0.606296,1.0,Reverse transcriptase/RNaseH,Human immunodeficiency virus 1,计算筛选排序信号，不代表真实疗效或临床结论。
HIV 逆转录酶,reverse transcriptase,4,stavudine,0.959833,0.598333,1.0,Reverse transcriptase/RNaseH,Human immunodeficiency virus 1,计算筛选排序信号，不代表真实疗效或临床结论。
HIV 逆转录酶,reverse transcriptase,5,efavirenz,0.957269,0.572685,1.0,Reverse transcriptase/RNaseH,Human immunodeficiency virus 1,计算筛选排序信号，不代表真实疗效或临床结论。
HCV NS5B,RNA polymerase,1,ribavirin,0.943935,0.439352,1.0,NS5B protein,Hepatitis C virus,计算筛选排序信号，不代表真实疗效或临床结论。
HCV NS5B,RNA polymerase,2,sofosbuvir,0.938605,0.386049,1.0,NS5B protein,Hepatitis C virus,计算筛选排序信号，不代表真实疗效或临床结论。
HCV NS5B,RNA polymerase,3,dasabuvir,0.933333,0.333333,1.0,NS5B protein,Hepatitis C virus,计算筛选排序信号，不代表真实疗效或临床结论。
HCV NS5B,RNA polymerase,4,beclabuvir,0.929361,0.293611,1.0,RNA-directed RNA polymerase,Hepacivirus C,计算筛选排序信号，不代表真实疗效或临床结论。
HCV NS5B,RNA polymerase,5,fidaxomicin,0.660046,0.390185,0.75,DNA-directed RNA polymerase,Peptoclostridium difficile (strain 630),计算筛选排序信号，不代表真实疗效或临床结论。
高血压 ACE,ACE,1,spirapril,0.951972,0.519722,1.0,Angiotensin-converting enzyme,Homo sapiens,计算筛选排序信号，不代表真实疗效或临床结论。
高血压 ACE,ACE,2,enalaprilat,0.951093,0.510926,1.0,Angiotensin-converting enzyme,Homo sapiens,计算筛选排序信号，不代表真实疗效或临床结论。
高血压 ACE,ACE,3,lisinopril,0.950861,0.508611,1.0,Angiotensin-converting enzyme,Homo sapiens,计算筛选排序信号，不代表真实疗效或临床结论。
高血压 ACE,ACE,4,captopril,0.950046,0.500463,1.0,Angiotensin-converting enzyme,Homo sapiens,计算筛选排序信号，不代表真实疗效或临床结论。
高血压 ACE,ACE,5,enalapril,0.949704,0.497037,1.0,Angiotensin-converting enzyme,Homo sapiens,计算筛选排序信号，不代表真实疗效或临床结论。
2型糖尿病 DPP4,DPP4,1,saxagliptin,0.955815,0.558148,1.0,Dipeptidyl peptidase 4,Homo sapiens,计算筛选排序信号，不代表真实疗效或临床结论。
2型糖尿病 DPP4,DPP4,2,vildagliptin,0.952778,0.527778,1.0,Dipeptidyl peptidase 4,Homo sapiens,计算筛选排序信号，不代表真实疗效或临床结论。
2型糖尿病 DPP4,DPP4,3,sitagliptin,0.948481,0.484815,1.0,Dipeptidyl peptidase 4,Rattus norvegicus,计算筛选排序信号，不代表真实疗效或临床结论。
2型糖尿病 DPP4,DPP4,4,teneligliptin,0.947534,0.475344,1.0,Dipeptidyl peptidase 4,Rattus norvegicus,计算筛选排序信号，不代表真实疗效或临床结论。
2型糖尿病 DPP4,DPP4,5,vidarabine,0.9475,0.475,1.0,Dipeptidyl peptidase 4,Homo sapiens,计算筛选排序信号，不代表真实疗效或临床结论。
炎症疼痛 COX-2,PTGS2,1,celecoxib,0.945108,0.451082,1.0,Prostaglandin G/H synthase 2,Homo sapiens,计算筛选排序信号，不代表真实疗效或临床结论。
炎症疼痛 COX-2,PTGS2,2,acemetacin,0.944574,0.445741,1.0,Prostaglandin G/H synthase 2,Homo sapiens,计算筛选排序信号，不代表真实疗效或临床结论。
炎症疼痛 COX-2,PTGS2,3,indomethacin,0.943761,0.437606,1.0,Prostaglandin G/H synthase 2,Homo sapiens,计算筛选排序信号，不代表真实疗效或临床结论。
炎症疼痛 COX-2,PTGS2,4,meloxicam,0.943511,0.435115,1.0,Prostaglandin G/H synthase 2,Homo sapiens,计算筛选排序信号，不代表真实疗效或临床结论。
炎症疼痛 COX-2,PTGS2,5,nimesulide,0.94328,0.4328,1.0,Prostaglandin G/H synthase 2,Homo sapiens,计算筛选排序信号，不代表真实疗效或临床结论。
肿瘤 EGFR,EGFR,1,docetaxel,0.951185,0.511852,1.0,Epidermal growth factor receptor,Homo sapiens,计算筛选排序信号，不代表真实疗效或临床结论。
肿瘤 EGFR,EGFR,2,sorafenib,0.949518,0.495179,1.0,Epidermal growth factor receptor,Homo sapiens,计算筛选排序信号，不代表真实疗效或临床结论。
肿瘤 EGFR,EGFR,3,montelukast,0.948069,0.480688,1.0,Epidermal growth factor receptor,Homo sapiens,计算筛选排序信号，不代表真实疗效或临床结论。
肿瘤 EGFR,EGFR,4,lenvatinib,0.947222,0.472222,1.0,Epidermal growth factor receptor,Homo sapiens,计算筛选排序信号，不代表真实疗效或临床结论。
肿瘤 EGFR,EGFR,5,axitinib,0.94652,0.465198,1.0,Epidermal growth factor receptor,Homo sapiens,计算筛选排序信号，不代表真实疗效或临床结论。
